race_id,Date,race_number,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Finish Time,Win Odds,Going,Course,Track,horse_id,jockey_id,trainer_id
2004010101,2004-01-01,1,1,1,SHARE THE FUN (CC111),G Mosse,K L Man,132,1121,4,-,1:09.80,3.1,GOOD,ALL WEATHER TRACK,ST,HK_2002_C111,,MKL
2004010101,2004-01-01,1,2,10,EASY PUNCH (CB276),Y T Cheng,Y O Wong,115,1193,3,2-3/4,1:10.20,69,GOOD,ALL WEATHER TRACK,ST,HK_2001_B276,,
2004010101,2004-01-01,1,3,7,SURE FORTUNE (CC033),A Delpech,A T Millard,120,1059,9,3-3/4,1:10.40,4.3,GOOD,ALL WEATHER TRACK,ST,HK_2002_C033,,
2004010101,2004-01-01,1,4,3,SALENTINO (CC058),F Coetzee,A S Cruz,131,1074,10,4,1:10.40,14,GOOD,ALL WEATHER TRACK,ST,HK_2002_C058,,CAS
2004010101,2004-01-01,1,5,2,SMILING FOREST (BV286),P H Lo,B K Ng,122,1063,1,4-3/4,1:10.60,36,GOOD,ALL WEATHER TRACK,ST,HK_1999_V286,,
2004010101,2004-01-01,1,6,4,STAR WARRIOR (CA271),S Dye,C Fownes,128,1243,7,4-3/4,1:10.60,4.3,GOOD,ALL WEATHER TRACK,ST,HK_2000_A271,,FC
2004010101,2004-01-01,1,7,5,LOVE ON EARTH (BT110),K T Yeung,D Cruz,114,975,8,7,1:10.90,15,GOOD,ALL WEATHER TRACK,ST,HK_1998_T110,,
2004010101,2004-01-01,1,8,11,BABY KING (CC184),D Dunn,D A Hayes,116,1132,5,7-1/4,1:10.90,23,GOOD,ALL WEATHER TRACK,ST,HK_2002_C184,,HDA
2004010101,2004-01-01,1,9,12,BACK SEAT DRIVER (CA011),W Smith,T W Leung,113,1160,6,7-1/2,1:11.00,81,GOOD,ALL WEATHER TRACK,ST,HK_2000_A011,,
2004010101,2004-01-01,1,10,8,ETERNAL START (BV079),W M Lai,T K Ng,118,1209,2,14-3/4,1:12.20,78,GOOD,ALL WEATHER TRACK,ST,HK_1999_V079,,
2004010101,2004-01-01,1,11,9,AFICIONADO (BV293),M W Leung,P F Yiu,111,1192,11,18,1:12.70,99,GOOD,ALL WEATHER TRACK,ST,HK_1999_V293,,YPF
2004010101,2004-01-01,1,12,6,ROYAL EXCHANGE (CD107),D Whyte,J Moore,124,1012,12,19-1/2,1:12.90,5.5,GOOD,ALL WEATHER TRACK,ST,HK_2003_D107,,
2004010102,2004-01-01,2,1,2,BARRACUDA (CB320),G Mosse,C H Yip,131,1056,9,-,2:04.80,8.3,GOOD TO FIRM,"TURF - ""B+2"" Course",ST,HK_2001_B320,,YCH
2004010102,2004-01-01,2,2,13,TORI TOP (CB405),K C Tsang,Y O Wong,124,1085,12,1/2,2:04.90,13,GOOD TO FIRM,"TURF - ""B+2"" Course",ST,HK_2001_B405,,
2004010102,2004-01-01,2,3,12,GREAT KID (CB206),T Mundry,B K Ng,124,998,3,2-3/4,2:05.20,20,GOOD TO FIRM,"TURF - ""B+2"" Course",ST,HK_2001_B206,,
2004010102,2004-01-01,2,4,9,MILLENNIUM SUPREME (BV228),F Coetzee,A S Cruz,127,1186,10,3,2:05.30,31,GOOD TO FIRM,"TURF - ""B+2"" Course",ST,HK_1999_V228,,CAS
