race_id,Date,race_number,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,LBW,Finish Time,Win Odds,Going,Course,Track,Running Position,horse_id,jockey_id,trainer_id
2008010101,2008-01-01,1,1,3,FASTER FASTER (CG010),C Soumillon,D E Ferraris,129,1245,6,-,1:10.60,6.6,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2005_G010,SC,
2008010101,2008-01-01,1,2,4,NAMJONG SKY (CH129),B Prebble,D J Hall,126,1144,7,3/4,1:10.70,5.7,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2006_H129,,HAD
2008010101,2008-01-01,1,3 DH,2,PALIO KING (CG073),G Mosse,A Lee,132,1115,4,1-1/4,1:10.80,5.3,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2005_G073,,
2008010101,2008-01-01,1,3 DH,11,MUTUAL GAIN (CE275),M W Leung,T W Leung,112,1074,5,1-1/4,1:10.80,9.7,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2004_E275,,
2008010101,2008-01-01,1,5,12,AMBITION (CC079),W M Lai,K W Lui,113,1072,3,3,1:11.10,13,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2002_C079,,LKW
2008010101,2008-01-01,1,6,8,MASTER YING (CB249),E Saint-Martin,T K Ng,120,1171,8,3-3/4,1:11.20,6.6,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2001_B249,,
2008010101,2008-01-01,1,7,9,UNIVERSAL PIONEER (CB293),C K Tong,C S Shum,114,1154,10,5,1:11.40,11,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2001_B293,,SCS
2008010101,2008-01-01,1,8,5,STEP FORWARD (CB166),K T Yeung,A Schutz,116,1120,9,5-1/2,1:11.50,63,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2001_B166,,
2008010101,2008-01-01,1,9,7,SIMPLY THE BEST (CE014),P H Lo,D Cruz,115,1138,12,6-1/2,1:11.60,55,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2004_E014,,
2008010101,2008-01-01,1,10,10,LUCKY MAN (CG061),Z Purton,T K Ng,118,1163,2,12-1/4,1:12.50,34,GOOD TO FIRM,"TURF - ""A"" Course",ST,,HK_2005_G061,PZ,
