race_id,Date,trial_number,horse_number,Horse,Jockey,Trainer,Draw,Gear,LBW,Running Position,Time,Result,Comment,Track,Dist.,horse_id
2022010401,2022-01-04,1,1,WELLINGTON (D176),A Badel,R Gibson,5,CP/XB,,2 1 1,0.59.20,,Always in touch; won comfortably.,ST,1000,HK_2019_D176
2022010401,2022-01-04,1,2,JUMBO FORTUNE (G195),J Moreira,A S Cruz,6,H,Nose,5 2 2,0.59.20,,Slightly slow to begin; made progress steadily.,ST,1000,HK_2021_G195
2022010401,2022-01-04,1,3,GOLDEN SIXTY (C238),C Y Ho,K W Lui,1,,1-1/4L,6 5 3,0.59.41,,Made progress steadily; ran on comfortably.,ST,1000,HK_2018_C238
2022010401,2022-01-04,1,4,COMING PATCH (G222),M L Yeung,K H Ting,4,,1-3/4L,4 4 4,0.59.47,Passed,Head turned sideways early; ran on fairly well when recovered.,ST,1000,HK_2021_G222
2022010401,2022-01-04,1,5,NABOO BABY (G226),B Shinn,D A Hayes,3,,2L,7 7 5,0.59.53,Passed,Brushed and slightly slow to begin; raced in between runners.,ST,1000,HK_2021_G226
2022010401,2022-01-04,1,6,WIND N GRASS (D197),L Ferraris,C W Chang,7,,2-1/4L,1 3 6,0.59.54,,Good early speed and no stamina; not back in condition.,ST,1000,HK_2019_D197
2022010401,2022-01-04,1,7,MISTER SNOWDON (E408),C L Chau,D J Whyte,2,SR,2-1/4L,8 8 7,0.59.57,,Taken back early; not fully tested.,ST,1000,HK_2020_E408
2022010401,2022-01-04,1,8,MR ASCENDENCY (G227),K Teetan,P F Yiu,8,,2-1/4L,3 6 8,0.59.57,,Gave ground but ran on fairly well.,ST,1000,HK_2021_G227
2022010402,2022-01-04,2,1,BEAUTY CHARGE (G231),M F Poon,A S Cruz,2,,,1 1 1,0.57.91,,Led all the way to score; ran on nicely.,ST,1000,HK_2021_G231
2022010402,2022-01-04,2,2,TRILLION WIN (E240),A Badel,K L Man,3,CP,1L,3 2 2,0.58.07,,Ran on comfortably for 2nd.,ST,1000,HK_2020_E240
2022010402,2022-01-04,2,3,JOLLY RULER (E346),M Chadwick,P F Yiu,1,H,1-1/2L,4 4 3,0.58.14,Passed,Ran on well when let go late.,ST,1000,HK_2020_E346
2022010402,2022-01-04,2,4,WINNING DREAMER (D358),C Y Ho,F C Lor,8,,1-1/2L,5 5 4,0.58.15,,Taken back to look for cover early; not fully tested.,ST,1000,HK_2019_D358
2022010402,2022-01-04,2,5,PACKING AWARD (E264),K Teetan,L Ho,6,,3L,7 6 5,0.58.37,,Ran on nicely when persuaded at 300m.,ST,1000,HK_2020_E264
2022010402,2022-01-04,2,6,MARCH OF STEEL (G027),B Shinn,C Fownes,4,,3L,2 3 6,0.58.40,,On pace early; limited response late.,ST,1000,HK_2021_G027
2022010402,2022-01-04,2,7,AMAZING ONE PLUS (D173),C L Chau,T P Yung,7,P/XB,6L,8 7 7,0.58.88,,Not much progress when hard ridden.,ST,1000,HK_2019_D173
2022010402,2022-01-04,2,8,WOODFIRE BRO (G115),K C Leung,L Ho,5,,8L,6 8 8,0.59.17,,Not willing to stretch when asked halfway.,ST,1000,HK_2021_G115
2022010403,2022-01-04,3,1,LUCKY GOR (G217),J Moreira,C Fownes,8,,,2 1 1,0.57.80,,Hit the front halfway; kept on to score.,ST,1000,HK_2021_G217
2022010403,2022-01-04,3,2,WE ARE HERO (G207),M Chadwick,K L Man,2,,Head,7 5 2,0.57.83,,Looking for cover early; dashed on centre track.,ST,1000,HK_2021_G207
2022010403,2022-01-04,3,3,SEE U AGAIN (G247),A Badel,C S Shum,5,,Neck,1 2 3,0.57.87,Passed,Led early; stretching out nicely for 3rd.,ST,1000,HK_2021_G247
2022010403,2022-01-04,3,4,POLARIS WINNER (G167),L Ferraris,A T Millard,1,,1-3/4L,9 6 4,0.58.08,,Raced awkwardly when hard ridden at 200m.,ST,1000,HK_2021_G167
2022010403,2022-01-04,3,5,TYCOON'S CHOICE (E331),B Shinn,C H Yip,3,,3L,4 4 5,0.58.27,Passed,On pace early; laying in late.,ST,1000,HK_2020_E331
2022010403,2022-01-04,3,6,FLYING SEASON (G157),C L Chau,K L Man,6,,5-1/4L,8 8 6,0.58.62,,Under a hold midfield; not fully tested.,ST,1000,HK_2021_G157
2022010403,2022-01-04,3,7,NEW FUTURE (E039),K Teetan,T P Yung,10,B,6-1/2L,11 10 7,0.58.82,,Asked at 500m; made up good ground late.,ST,1000,HK_2020_E039
2022010403,2022-01-04,3,8,PACKING TREADMILL (G161),C Y Ho,K W Lui,7,,7-1/2L,5 7 8,0.59.01,,Niggled along throughout; ran on ordinary.,ST,1000,HK_2021_G161
2022010403,2022-01-04,3,9,DAN IMPACT (E469),K C Leung,W Y So,9,,11-1/4L,6 9 9,0.59.62,,Not stretching out properly when under whip and asked at 500m.,ST,1000,HK_2020_E469
