race_id,Date,race_number,Racecourse,Placing,Horse No.,horse_name,horse_id,Jockey,Gear,Comment,source_url,scrape_ts
2001010101,2001-01-01,1,ST,8,1,NINGBO WARRIOR,HK_1998_T010,K C Tsang,B/H,Near rear. Clipped heels and knuckled near 600 M. Made up some ground final 200 M.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,9,10,UNIVERSAL BOSS,HK_1994_M039,E Legrix,V,Towards rear. Made progress to midfield rounding home bend. Found no extra closing stages.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,10,11,SPARKO,HK_1994_M028,C Williams,B,In touch. Dropped back steadily from 4th early straight. Weakened close home.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,1,12,NATURAL CLASSIC,HK_1997_S323,K S Yu,--,"Led early, then held 2nd to straight. Sustained effort final 300 M to re-gain advantage 100 M out.",https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,13,13,GO GO WIN,HK_1996_P093,K H Ting,--,Prominent early. Dropped back steadily from 1000 M.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,6,14,THE VITALITY STAR,HK_1998_T201,D Bonilla,B/TT1,Midfield. Made progress rounding home bend to be 5th. Kept on same pace in straight.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,11,2,APPLAUSE FOR ME,HK_1993_L169,W Woods,B,"Soon 5th. Severely checked near 800 M, dropping to midfield. Unable to recover thereafter.",https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,12,3,SUPER FAIRWAY,HK_1996_P111,C H Tse,--,Behind midfield. Made no show in straight.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,14,4,GREEN CHARM,HK_1998_T007,Y T Cheng,B2/H1,"Jumped awkwardly, never in contention. (See Racing Incidents.)",https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,2,5,SWEET VICTORY,HK_1998_T160,E Saint-Martin,B/TT,"Soon last. Made up some ground 650 M. Ran on from 11th at 400 M, just failing to catch the winner.",https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,4,6,SUPER STAR,HK_1997_S005,A Starke,B/H,"Midfield early, soon in touch. Quickened up to become 2nd turning in. Kept on but found no extra closing stages.",https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,5,7,MANLEY'S FORTUNE,HK_1997_S039,S K Sit,P-/B2/TT-,Pushed along to take lead passing 1000 M. Held on until headed inside 150 M. Unable to quicken.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,3,8,MONEY STAR,HK_1998_T302,G Mosse,--,Mostly 6th until improving slightly to 5th final turn. Ran on steadily to be nearest at finish.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010101,2001-01-01,1,ST,7,9,STAR OF HONG KONG,HK_1996_P324,S King,--,Towards rear. Checked 800 M. Kept on moderately to make up some ground final 200 M.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=1,2026-04-26T17:26:54Z
2001010102,2001-01-01,2,ST,9,1,ON FIRE,HK_1996_P248,Y T Cheng,P,Always in last few.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,2,10,SILVER COLLECTOR,HK_1996_P240,S K Sit,B,Began well and always well there. Disputed lead into straight. Just denied closing stages.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,11,12,MR HONOUR,HK_1999_V336,C Williams,--,Always wide and rear throughout.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,5,13,PROFIT ALL TIMES,HK_2000_A017,D Bonilla,--,Niggled along just behind pace. Found no response in straight.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,7,14,WINWIN COMBINATION,HK_1997_P340,W Woods,P2,Never better than midfield.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,1,2,HOKKIEN ALL,HK_1999_V341,R Fradd,--,Virtually made all. Fought on well to defy challengers in straight.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,13,3,MEGA-FIGHTER,HK_1999_V080,K C Tsang,--,Tailed-off throughout.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,6,4,NEW PLANET,HK_2000_A037,E Legrix,--,Sluggish at start. Soon recovered to midfield. One-paced in straight.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
2001010102,2001-01-01,2,ST,12,5,O K PAL,HK_2000_A010,M de Montfort,--,Began fairly then gradually outpaced.,https://racing.hkjc.com/en-us/local/information/corunning?date=20010101&raceno=2,2026-04-26T17:26:55Z
