race_id,date,race_number,pool,combination,dividend
2013010101,2013-01-01,1,WIN,5,33.00
2013010101,2013-01-01,1,PLACE,5,13.50
2013010101,2013-01-01,1,PLACE,7,20.50
2013010101,2013-01-01,1,PLACE,2,15.00
2013010101,2013-01-01,1,QUINELLA,"5,7",111.50
2013010101,2013-01-01,1,QUINELLA PLACE,"5,7",38.50
2013010101,2013-01-01,1,QUINELLA PLACE,"2,5",34.50
2013010101,2013-01-01,1,QUINELLA PLACE,"2,7",54.00
2013010101,2013-01-01,1,TIERCE,"5,7,2",612.00
2013010101,2013-01-01,1,TRIO,"2,5,7",113.00
2013010101,2013-01-01,1,FIRST 4,"2,5,7,9",222.00
2013010102,2013-01-01,2,WIN,4,112.50
2013010102,2013-01-01,2,PLACE,4,51.00
2013010102,2013-01-01,2,PLACE,11,14.50
2013010102,2013-01-01,2,PLACE,9,23.00
2013010102,2013-01-01,2,QUINELLA,"4,11",246.50
2013010102,2013-01-01,2,QUINELLA PLACE,"4,11",95.00
2013010102,2013-01-01,2,QUINELLA PLACE,"4,9",204.00
2013010102,2013-01-01,2,QUINELLA PLACE,"9,11",55.00
2013010102,2013-01-01,2,TIERCE,"4,11,9","4,370.00"
2013010102,2013-01-01,2,TRIO,"4,9,11",486.00
2013010102,2013-01-01,2,FIRST 4,"4,9,11,13","1,505.00"
2013010102,2013-01-01,2,1ST DOUBLE,5/4,498.50
2013010102,2013-01-01,2,1ST DOUBLE,5/11,22.00
2013010103,2013-01-01,3,WIN,6,90.00
2013010103,2013-01-01,3,PLACE,6,27.50
2013010103,2013-01-01,3,PLACE,9,12.00
2013010103,2013-01-01,3,PLACE,5,44.50
2013010103,2013-01-01,3,QUINELLA,"6,9",108.50
2013010103,2013-01-01,3,QUINELLA PLACE,"6,9",42.50
2013010103,2013-01-01,3,QUINELLA PLACE,"5,6",226.00
2013010103,2013-01-01,3,QUINELLA PLACE,"5,9",52.00
2013010103,2013-01-01,3,TIERCE,"6,9,5","2,531.00"
2013010103,2013-01-01,3,TRIO,"5,6,9",430.00
2013010103,2013-01-01,3,FIRST 4,"5,6,7,9",647.00
2013010103,2013-01-01,3,2ND DOUBLE,4/6,"1,031.50"
2013010103,2013-01-01,3,2ND DOUBLE,4/9,77.00
2013010104,2013-01-01,4,WIN,2,30.50
2013010104,2013-01-01,4,PLACE,2,14.00
2013010104,2013-01-01,4,PLACE,8,15.50
2013010104,2013-01-01,4,PLACE,4,22.50
2013010104,2013-01-01,4,QUINELLA,"2,8",79.00
2013010104,2013-01-01,4,QUINELLA PLACE,"2,8",34.00
2013010104,2013-01-01,4,QUINELLA PLACE,"2,4",42.00
2013010104,2013-01-01,4,QUINELLA PLACE,"4,8",53.00
2013010104,2013-01-01,4,TIERCE,"2,8,4",567.00
2013010104,2013-01-01,4,TRIO,"2,4,8",148.00
2013010104,2013-01-01,4,FIRST 4,"2,4,8,9",223.00
2013010104,2013-01-01,4,3RD DOUBLE,6/2,402.50
2013010104,2013-01-01,4,3RD DOUBLE,6/8,65.50
2013010105,2013-01-01,5,WIN,1,39.00
2013010105,2013-01-01,5,PLACE,1,16.50
2013010105,2013-01-01,5,PLACE,7,71.00
2013010105,2013-01-01,5,PLACE,3,38.00
2013010105,2013-01-01,5,QUINELLA,"1,7",437.50
2013010105,2013-01-01,5,QUINELLA PLACE,"1,7",158.00
2013010105,2013-01-01,5,QUINELLA PLACE,"1,3",83.50
2013010105,2013-01-01,5,QUINELLA PLACE,"3,7",292.50
2013010105,2013-01-01,5,TIERCE,"1,7,3","6,434.00"
2013010105,2013-01-01,5,TRIO,"1,3,7","1,368.00"
2013010105,2013-01-01,5,FIRST 4,"1,3,6,7",933.00
2013010105,2013-01-01,5,FIRST 4,"1,3,7,14","5,396.00"
2013010105,2013-01-01,5,4TH DOUBLE,2/1,153.50
2013010105,2013-01-01,5,4TH DOUBLE,2/7,134.50
2013010105,2013-01-01,5,1ST DOUBLE TRIO,"2,4,8/1,3,7","33,243.00"
2013010106,2013-01-01,6,WIN,1,30.50
2013010106,2013-01-01,6,PLACE,1,15.00
2013010106,2013-01-01,6,PLACE,13,25.00
2013010106,2013-01-01,6,PLACE,9,23.00
2013010106,2013-01-01,6,QUINELLA,"1,13",145.00
2013010106,2013-01-01,6,QUINELLA PLACE,"1,13",54.00
2013010106,2013-01-01,6,QUINELLA PLACE,"1,9",60.50
2013010106,2013-01-01,6,QUINELLA PLACE,"9,13",96.50
2013010106,2013-01-01,6,TIERCE,"1,13,9","1,146.00"
2013010106,2013-01-01,6,TRIO,"1,9,13",394.00
2013010106,2013-01-01,6,FIRST 4,"1,8,9,13",294.00
2013010106,2013-01-01,6,5TH DOUBLE,1/1,116.00
2013010106,2013-01-01,6,5TH DOUBLE,1/13,69.00
2013010107,2013-01-01,7,WIN,7,19.50
2013010107,2013-01-01,7,PLACE,7,11.50
2013010107,2013-01-01,7,PLACE,5,19.50
2013010107,2013-01-01,7,PLACE,8,52.00
2013010107,2013-01-01,7,QUINELLA,"5,7",103.00
2013010107,2013-01-01,7,QUINELLA PLACE,"5,7",49.00
2013010107,2013-01-01,7,QUINELLA PLACE,"7,8",83.00
2013010107,2013-01-01,7,QUINELLA PLACE,"5,8",293.00
2013010107,2013-01-01,7,TIERCE,"7,5,8","2,462.00"
2013010107,2013-01-01,7,TRIO,"5,7,8",579.00
2013010107,2013-01-01,7,FIRST 4,"5,7,8,10","3,972.00"
2013010107,2013-01-01,7,6TH DOUBLE,1/7,66.00
2013010107,2013-01-01,7,6TH DOUBLE,1/5,63.50
2013010107,2013-01-01,7,TRIPLE TRIO,"1,3,7/1,9,13/5,7,8","4,963,666.00"
2013010107,2013-01-01,7,TRIPLE TRIO(Consolation),"1,3,7/1,9,13/Any Combination","6,839.00"
2013010108,2013-01-01,8,WIN,7,116.00
2013010108,2013-01-01,8,PLACE,7,24.50
2013010108,2013-01-01,8,PLACE,11,15.00
2013010108,2013-01-01,8,PLACE,6,15.00
2013010108,2013-01-01,8,QUINELLA,"7,11",198.00
2013010108,2013-01-01,8,QUINELLA PLACE,"7,11",60.50
2013010108,2013-01-01,8,QUINELLA PLACE,"6,7",59.00
2013010108,2013-01-01,8,QUINELLA PLACE,"6,11",25.00
2013010108,2013-01-01,8,TIERCE,"7,11,6","1,270.00"
