race_id,Date,race_number,Racecourse,Horse No.,Horse,Out of the Handicap,WFA,Gear,Tongue Tie,Bit Change From,Bit Change To,Rtg.,Dist,Days since Last Run,New Trainer,Date returned from Conghua,horse_id,source_url,scrape_ts
2002010101,2002-01-01,1,ST,1,LEGEND OF VELOCITY (CA150),,,,,,,,,,,,HK_2000_A150,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,10,PERFECT VISION (CB015),,,,,,,,,,,,HK_2001_B015,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,11,HENNESSY STAR (CA071),,,,,,,,,,,,HK_2000_A071,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,12,LANDLORD (BV091),,,,,,,,,,,,HK_1999_V091,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,2,CONSENSUS (CA112),,,,,,,,,,,,HK_2000_A112,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,3,DON INSIGHT (CA364),,,,,,,,,,,,HK_2000_A364,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,4,SIR TIMAH (BT063),,,,,,,,,,,,HK_1998_T063,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,5,GOOD TIME FOR ALL (BS106),,,,,,,,,,,,HK_1997_S106,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,6,HONG KONG STAR (CB072),,,,,,,,,,,,HK_2001_B072,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,7,SKYSTONE (BN233),,,,,,,,,,,,HK_1995_N233,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,8,STARLIGHT SUPREME (BT262),,,,,,,,,,,,HK_1998_T262,,2026-04-26T06:12:05Z
2002010101,2002-01-01,1,ST,9,SOLO (BT127),,,,,,,,,,,,HK_1998_T127,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,1,KONRAD THE GREAT (CB059),,,,,,,,,,,,HK_2001_B059,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,10,SIR GALWAY (BP018),,,,,,,,,,,,HK_1996_P018,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,2,TOM'S FIRST (CA354),,,,,,,,,,,,HK_2000_A354,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,3,MANY HAPPY RETURNS (BP126),,,,,,,,,,,,HK_1996_P126,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,4,UNIVERSAL CHARGER (BV172),,,,,,,,,,,,HK_1999_V172,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,5,MARSHALL SPIRIT (CA016),,,,,,,,,,,,HK_2000_A016,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,6,D'OR WIN (CA092),,,,,,,,,,,,HK_2000_A092,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,7,FLAGS UP (BS126),,,,,,,,,,,,HK_1997_S126,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,8,ACE OF PACE (BV131),,,,,,,,,,,,HK_1999_V131,,2026-04-26T06:12:05Z
2002010102,2002-01-01,2,ST,9,ALL THE GLORY (BN058),,,,,,,,,,,,HK_1995_N058,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,1,RECOGNITION (BT042),,,,,,,,,,,,HK_1998_T042,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,10,DANELAW (BV212),,,,,,,,,,,,HK_1999_V212,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,11,MISSION POSSIBLE (CA070),,,,,,,,,,,,HK_2000_A070,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,12,SECOND OPINION (CA081),,,,,,,,,,,,HK_2000_A081,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,13,RED COMMANDER (BP097),,,,,,,,,,,,HK_1996_P097,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,14,TWEET (CA326),,,,,,,,,,,,HK_2000_A326,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,2,PRIDE AND FORTUNE (BV331),,,,,,,,,,,,HK_1999_V331,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,3,SKY HAWK (BS070),,,,,,,,,,,,HK_1997_S070,,2026-04-26T06:12:05Z
2002010103,2002-01-01,3,ST,4,CHARMING STRIDE (BV325),,,,,,,,,,,,HK_1999_V325,,2026-04-26T06:12:05Z
