race_id,Date,race_number,Racecourse,reference_date,reference_race_index,reference_racecourse,reference_distance,reference_class,reference_course,reference_going,Horse,horse_id,Wt.,Rtg.,Draw,Jockey,Last Jockey,Placing,Time,Margin,Win Odds,Weight Carried +/-,Rating +/-,source_url,scrape_ts
2005010106,2005-01-01,6,ST,2004-10-17,099,ST,2000,3,"""B+2""",GF,SUPER IDEAL (CC223),HK_2002_C223,123,72,7,O Doleuze,O Doleuze,03,2.02.20,1-3/4,4.6,-1.0,0.0,,2026-04-26T06:45:58Z
2005010106,2005-01-01,6,ST,2004-10-17,099,ST,2000,3,"""B+2""",GF,TRAVEL LEADER (CD226),HK_2003_D226,118,67,6,W M Lai,G Schofield,04,2.02.20,1-3/4,11,4.0,6.0,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-02-01,364,ST,1000,GRIFFIN,"""C""",GF,COULDN'T CARE LESS (CD009),HK_2003_D009,125,52,4,D Holland,W Smith,09,0.59.80,12,52,0.0,,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-02-01,364,ST,1000,GRIFFIN,"""C""",GF,BAUHINIA (CD118),HK_2003_D118,115,42,1,S K Sit,K McEvoy,08,0.59.50,9-3/4,74,-10.0,,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-02-28,424,ST,1000,GRIFFIN,"""B+2""",GF,COULDN'T CARE LESS (CD009),HK_2003_D009,125,52,4,D Holland,A Marcus,09,0.58.90,12-1/2,83,0.0,,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-02-28,424,ST,1000,GRIFFIN,"""B+2""",GF,BAUHINIA (CD118),HK_2003_D118,115,42,1,S K Sit,W Woods,10,0.59.20,14-3/4,42,-10.0,,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-03-27,492,ST,1200,GRIFFIN,"""B+2""",GY,COULDN'T CARE LESS (CD009),HK_2003_D009,125,52,4,D Holland,O Doleuze,06,1.11.80,7-3/4,41,0.0,,,2026-04-26T06:45:58Z
2005011204,2005-01-12,4,HV,2004-03-27,492,ST,1200,GRIFFIN,"""B+2""",GY,BAUHINIA (CD118),HK_2003_D118,115,42,1,S K Sit,P H Lo,13,1.12.80,14-1/4,99,-3.0,,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-04-25,555,ST,1400,2,"""A""",GF,WHATABOB (CD213),HK_2003_D213,117,77,7,M Rodd,J Holder,11,1.23.40,6-1/4,48,-4.0,-4.0,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-04-25,555,ST,1400,2,"""A""",GF,DASHING CHAMPION (CC015),HK_2002_C015,117,88,2,H W Lai,W Smith,10,1.23.40,5-3/4,99,-10.0,1.0,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-10-20,107,HV,1800,2,"""A""",GF,DASHING CHAMPION (CC015),HK_2002_C015,117,88,2,H W Lai,A Delpech,01,1.49.70,N,23,-7.0,4.0,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-10-20,107,HV,1800,2,"""A""",GF,CONNOISSEUR'S LOVE (CD234),HK_2003_D234,118,78,1,B Prebble,T Mundry,08,1.50.10,2-3/4,17,-4.0,-4.0,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-12-15,252,HV,1800,2,"""B""",GF,DASHING CHAMPION (CC015),HK_2002_C015,117,88,2,H W Lai,H W Lai,08,1.49.40,4,22,-2.0,-1.0,,2026-04-26T06:45:58Z
2005011208,2005-01-12,8,HV,2004-12-15,252,HV,1800,2,"""B""",GF,CONNOISSEUR'S LOVE (CD234),HK_2003_D234,118,78,1,B Prebble,D Holland,12,1.50.50,11,19,-2.0,-2.0,,2026-04-26T06:45:58Z
2005011903,2005-01-19,3,HV,2004-12-01,212,ST,1200,4,,GD,COULDN'T CARE LESS (CD009),HK_2003_D009,123,52,4,G Mosse,G Schofield,03,1.10.00,3-3/4,44,-4.0,-2.0,,2026-04-26T06:45:58Z
2005011903,2005-01-19,3,HV,2004-12-01,212,ST,1200,4,,GD,SOUND OF SILENCE (CD136),HK_2003_D136,104,42,7,C K Tong,D Dunn,06,1.10.50,6-3/4,6.5,-12.0,0.0,,2026-04-26T06:45:58Z
2005013008,2005-01-30,8,ST,2004-10-09,093,ST,1600,3,"""A+3""",GF,DR WELL (CD165),HK_2003_D165,127,74,7,G Schofield,S Dye,11,1.36.00,5-1/4,29,10.0,9.0,,2026-04-26T06:45:58Z
2005013008,2005-01-30,8,ST,2004-10-09,093,ST,1600,3,"""A+3""",GF,SUPER IDEAL (CC223),HK_2002_C223,124,71,3,D Whyte,A Marcus,04,1.35.40,1-1/2,14,0.0,-1.0,,2026-04-26T06:45:58Z
2005021603,2005-02-16,3,HV,2004-12-22,268,HV,1650,4,"""C""",GF,RISING WIN (CC089),HK_2002_C089,122,52,1,D Whyte,A Starke,09,1.43.40,4-3/4,14,-4.0,-3.0,,2026-04-26T06:45:58Z
2005021603,2005-02-16,3,HV,2004-12-22,268,HV,1650,4,"""C""",GF,COULDN'T CARE LESS (CD009),HK_2003_D009,127,57,12,G Mosse,D Holland,05,1.42.90,1-1/2,8.2,4.0,5.0,,2026-04-26T06:45:58Z
