race_id,Date,race_number,Racecourse,Horse No.,Horse,horse_id,record_date,Details,Passed On,source_url,scrape_ts
2022010103,2022-01-01,3,ST,1,AWESOME TREASURE (E435),HK_2020_E435,2021-11-06,Lame left fore.,2021-11-23,,2026-04-26T06:45:16Z
2022010104,2022-01-01,4,ST,2,HEALTHY HAPPY (D435),HK_2019_D435,2021-06-20,"Heart irregularity, substantial blood in trachea noted on post-race scoping.",2021-12-03,,2026-04-26T06:45:16Z
2022010106,2022-01-01,6,ST,13,SUPER HONG KONG (D241),HK_2019_D241,2020-09-27,Substantial mucus in trachea after racing.,,,2026-04-26T06:45:16Z
2022010106,2022-01-01,6,ST,13,SUPER HONG KONG (D241),HK_2019_D241,2020-10-05,Castration.,,,2026-04-26T06:45:16Z
2022010109,2022-01-01,9,ST,5,LUCKY WITH YOU (E356),HK_2020_E356,2021-10-23,Lame right hind.,2021-11-08,,2026-04-26T06:45:16Z
2022010110,2022-01-01,10,ST,5,BEAUTY JOY (E058),HK_2020_E058,2021-01-25,Lame right fore on the day after racing.,2021-06-24,,2026-04-26T06:45:16Z
2022010507,2022-01-05,7,HV,11,SETANTA (G095),HK_2021_G095,2021-09-06,Castration.,,,2026-04-26T06:45:16Z
2022011208,2022-01-12,8,HV,1,HARMONY FIRE (E175),HK_2020_E175,2020-09-28,Castration.,,,2026-04-26T06:45:16Z
2022011610,2022-01-16,10,ST,2,LUCKY WITH YOU (E356),HK_2020_E356,2021-10-23,Lame right hind.,2021-11-08,,2026-04-26T06:45:16Z
2022011906,2022-01-19,6,HV,6,BEAUTY JOY (E058),HK_2020_E058,2021-01-25,Lame right fore on the day after racing.,2021-06-24,,2026-04-26T06:45:16Z
2022012301,2022-01-23,1,ST,9,TSUEN WAN GLORY (E403),HK_2020_E403,2021-06-11,Pelvic stress injury.,2021-10-12,,2026-04-26T06:45:16Z
2022012302,2022-01-23,2,ST,9,SETANTA (G095),HK_2021_G095,2021-09-06,Castration.,,,2026-04-26T06:45:16Z
2022012307,2022-01-23,7,ST,6,HEALTHY HAPPY (D435),HK_2019_D435,2021-06-20,"Heart irregularity, substantial blood in trachea noted on post-race scoping.",2021-12-03,,2026-04-26T06:45:16Z
2022012307,2022-01-23,7,ST,6,HEALTHY HAPPY (D435),HK_2019_D435,2022-01-23,Substantial blood in trachea noted on post-race scoping.,2022-02-08,,2026-04-26T06:45:16Z
2022012309,2022-01-23,9,ST,3,WINNING DRAGON (E461),HK_2020_E461,2021-07-21,Castration.,,,2026-04-26T06:45:16Z
