race_id,Date,race_number,race_name,race_class,race_class_num,rating_band,distance_m,racecourse,track,course,going,finish_place,horse_no,horse_id,horse_name,finish_time,finish_time_sec,section_index,section_label,running_position,behind_leader,sectional_time,sectional_time_sec,cumulative_time_sec,horse_subsplit_1,horse_subsplit_1_sec,horse_subsplit_2,horse_subsplit_2_sec,race_sectional_time,race_sectional_time_sec,race_cumulative_time,race_cumulative_time_sec,race_subsplit_1,race_subsplit_1_sec,race_subsplit_2,race_subsplit_2_sec,source_url
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,13,1,HK_2023_J371,SMILING EMPEROR,1:37.80,97.8,1,1st Sec.,3.0,1,24.49,24.49,24.49,,,,,24.33,24.33,24.33,24.33,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,13,1,HK_2023_J371,SMILING EMPEROR,1:37.80,97.8,2,2nd Sec.,4.0,2-1/4,22.50,22.5,46.99,,,,,22.30,22.3,46.63,46.63,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,13,1,HK_2023_J371,SMILING EMPEROR,1:37.80,97.8,3,3rd Sec.,4.0,2-1/4,24.07,24.07,71.06,12.12,12.12,11.95,11.95,24.07,24.07,1:10.70,70.7,12.16 11.91,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,13,1,HK_2023_J371,SMILING EMPEROR,1:37.80,97.8,4,4th Sec.,13.0,15-1/4,26.74,26.74,97.8,12.74,12.74,14.00,14.0,24.66,24.66,1:35.36,95.36,12.10 12.56,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,5,2,HK_2024_K110,JOLLY JUMPER,1:35.46,95.46,1,1st Sec.,2.0,1/2,24.41,24.41,24.41,,,,,24.33,24.33,24.33,24.33,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,5,2,HK_2024_K110,JOLLY JUMPER,1:35.46,95.46,2,2nd Sec.,2.0,3/4,22.34,22.34,46.75,,,,,22.30,22.3,46.63,46.63,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,5,2,HK_2024_K110,JOLLY JUMPER,1:35.46,95.46,3,3rd Sec.,1.0,1/2,23.95,23.95,70.7,12.08,12.08,11.87,11.87,24.07,24.07,1:10.70,70.7,12.16 11.91,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,5,2,HK_2024_K110,JOLLY JUMPER,1:35.46,95.46,4,4th Sec.,5.0,1/2,24.76,24.76,95.46,12.10,12.1,12.66,12.66,24.66,24.66,1:35.36,95.36,12.10 12.56,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,7,3,HK_2021_H002,PANDA LEGEND,1:35.49,95.49,1,1st Sec.,7.0,2,24.65,24.65,24.65,,,,,24.33,24.33,24.33,24.33,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,7,3,HK_2021_H002,PANDA LEGEND,1:35.49,95.49,2,2nd Sec.,7.0,3-3/4,22.58,22.58,47.23,,,,,22.30,22.3,46.63,46.63,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,7,3,HK_2021_H002,PANDA LEGEND,1:35.49,95.49,3,3rd Sec.,6.0,3,23.95,23.95,71.18,12.12,12.12,11.83,11.83,24.07,24.07,1:10.70,70.7,12.16 11.91,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,7,3,HK_2021_H002,PANDA LEGEND,1:35.49,95.49,4,4th Sec.,7.0,3/4,24.31,24.31,95.49,11.74,11.74,12.57,12.57,24.66,24.66,1:35.36,95.36,12.10 12.56,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,1,4,HK_2023_J459,IRON LEGION,1:35.36,95.36,1,1st Sec.,5.0,1-1/2,24.57,24.57,24.57,,,,,24.33,24.33,24.33,24.33,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
2026010101,2026-01-01,1,TSUNG PAK LONG HANDICAP,Class 5,5.0,(40-0),1600,ST,Turf,B+2,Good,1,4,HK_2023_J459,IRON LEGION,1:35.36,95.36,2,2nd Sec.,3.0,2,22.38,22.38,46.95,,,,,22.30,22.3,46.63,46.63,,,,,https://racing.hkjc.com/en-us/local/information/displaysectionaltime?racedate=01%2F01%2F2026&All=True
